               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099152,            0.031166,                   0,            0.013962,             0.74286,            0.033279,           0.0083081,            0.041889,            0.016562,                   0,              0.0829,              0.0019,              0.0019
                   1,            0.067602,            0.028085,                   0,             0.30836,             0.34286,             0.26858,            0.079435,            0.036095,             0.01255,                   0,            0.064861,           0.0038614,           0.0038614
                   2,            0.053412,            0.026454,                   0,             0.23846,             0.34286,             0.27786,             0.10091,            0.030567,            0.010809,                   0,            0.046783,           0.0057832,           0.0057832
                   3,            0.052595,             0.02516,                   0,             0.14202,             0.17986,             0.21119,            0.056552,            0.023938,            0.010847,                   0,            0.028665,           0.0076654,           0.0076654
                   4,            0.052969,            0.024364,                   0,             0.29284,             0.17143,             0.21275,            0.073419,            0.026463,            0.010517,                   0,            0.010508,            0.009508,            0.009508
                   5,            0.048327,            0.024365,                   0,             0.36235,             0.34101,             0.31453,            0.081305,            0.036525,           0.0085949,                   0,            0.009505,            0.009505,            0.009505
                   6,            0.046872,            0.025409,                   0,             0.14231,             0.22857,             0.16168,            0.059597,            0.029914,            0.010851,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.041149,            0.023976,                   0,              0.3232,                 0.4,             0.23389,            0.063498,            0.026899,            0.010151,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.039061,             0.02521,                   0,             0.35416,             0.51429,             0.42881,             0.12925,            0.020775,           0.0098776,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.042949,            0.024083,                   0,             0.38128,             0.62857,             0.37203,             0.12799,            0.021137,           0.0094433,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.040596,            0.023942,                   0,             0.38212,             0.49488,              0.4099,             0.14951,             0.02017,           0.0095517,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.041471,            0.024243,                   0,             0.46952,             0.74286,             0.52925,             0.19075,            0.018487,           0.0085733,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.032696,            0.024045,                   0,             0.57516,             0.62857,              0.6568,             0.28876,            0.017675,           0.0085876,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.039411,            0.023643,                   0,             0.52395,             0.65714,             0.69909,              0.2627,             0.02135,           0.0088721,                   0,            0.008812,            0.008812,            0.008812
